
=== 1420 descrições fora dos registos paroquiais que cobrem 1700-1830 ===
[Pitta] 2832822  PT/ABM/AAC                     ..  Augusto Maria Camacho
[Pitta]  72761  PT/ABM/ACB/A/006/000007        ..1895  Praça da Constituição (atual avenida Arriaga), Freguesia da Sé, Concelho do Funchal
[Pitta]  72762  PT/ABM/ACB/A/006/000008        ..1895  Praça da Constituição (atual avenida Arriaga), Freguesia da Sé, Concelho do Funchal
[Pitta]  72763  PT/ABM/ACB/A/006/000009        ..  Praça da Rainha (atual avenida do Mar e das Comunidades Madeirenses) e Palácio de São Lourenço, Freguesia da Sé, Concelho do Funchal
[Pitta]  72764  PT/ABM/ACB/A/006/000010        ..  Entrada da Cidade, Freguesia da Sé, Concelho do Funchal
[Pitta]  72765  PT/ABM/ACB/A/006/000011        ..1895  Redondo (atual largo António Nobre) e rua do Favila, Freguesia de São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta]  77760  PT/ABM/ACB/A/007               ..  Vistas gerais (panorâmicas) da baía e cidade do Funchal
[Pitta]  72675  PT/ABM/ACB/A/007/000002        ..1885  Panorâmica da baía e cidade do Funchal (vista este/oeste)
[Pitta]  72686  PT/ABM/ACB/A/007/000004        ..  Panorâmica da baía e cidade do Funchal (vista este/oeste)
[Pitta]  72692  PT/ABM/ACB/A/007/000005        ..1895  Panorâmica da baía e cidade do Funchal (vista oeste/este) a partir do Forte de São João Baptista
[Pitta]  72694  PT/ABM/ACB/A/007/000006        ..  Panorâmica da baía e cidade do Funchal (vista oeste/este) a partir do sítio do Salto do Cavalo
[Pitta]  72741  PT/ABM/ACB/A/007/000008        ..  Panorâmica da baía e cidade do Funchal (vista oeste/este) a partir do sítio do Salto do Cavalo
[Pitta]  77761  PT/ABM/ACB/A/008               ..  Vistas parciais da baía e cidade do Funchal
[Pitta]  72678  PT/ABM/ACB/A/008/000001        ..1895  Vista parcial da cidade do Funchal, vendo-se a travessa de Santa Catarina e o Forte de São João Baptista
[Pitta]  72687  PT/ABM/ACB/A/008/000002        ..  Vista parcial da cidade do Funchal (este/oeste), vendo-se o caminho da Pontinha, ilhéu de Nossa Senhora da Conceição e sítio de Santa Catarina
[Pitta]  72689  PT/ABM/ACB/A/008/000003        ..  Vista parcial da baía e cidade do Funchal (oeste/este) a partir do sítio da Penha de França
[Pitta]  72690  PT/ABM/ACB/A/008/000004        ..  Vista do sítio da Penha de França a partir do forte do ilhéu de São José, Freguesia de São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta]  72691  PT/ABM/ACB/A/008/000005        ..  Vista parcial da cidade do Funchal (sudeste/noroeste) a partir do Teatro D. Maria Pia (atual Teatro Municipal Baltazar Dias)

[Pitta]  72693  PT/ABM/ACB/A/008/000006        ..  Vista parcial da baía e cidade do Funchal (oeste/este), vendo-se a fachada posterior do hospício Princesa D. Maria Amélia
[Pitta]  72695  PT/ABM/ACB/A/008/000007        ..  Vista parcial da baía e cidade do Funchal (oeste/este) a partir do teatro D. Maria Pia (atual teatro municipal Baltazar Dias)
[Pitta]  72696  PT/ABM/ACB/A/008/000008        ..1895  Vista parcial da baía e cidade do Funchal (oeste/este)
[Pitta]  72754  PT/ABM/ACB/A/008/000009        ..  Vista parcial da baía e cidade do Funchal (oeste/este) a partir do hospício Princesa D. Maria Amélia
[Pitta]  72755  PT/ABM/ACB/A/008/000010        ..  Vista parcial da cidade do Funchal (oeste/este), vendo-se a Fábrica de São João
[Pitta]  72756  PT/ABM/ACB/A/008/000011        ..  Vista parcial da cidade do Funchal (sudoeste/nordeste), vendo-se o forte de São João Baptista
[Pitta]  72757  PT/ABM/ACB/A/008/000012        ..  Vista parcial da cidade do Funchal (sudoeste/nordeste), vendo-se o forte de São João Baptista e a Fábrica de São João
[Pitta]  77762  PT/ABM/ACB/B                   ..  Igrejas e capelas
[Pitta]  77763  PT/ABM/ACB/B/001               ..  Capela do Nosso Senhor dos Milagres
[Pitta]  72717  PT/ABM/ACB/B/001/000001        ..  Interior da Capela de Senhor dos Milagres, Freguesia e Concelho de Machico
[Pitta]  72718  PT/ABM/ACB/B/001/000002        ..  Interior da Capela de Senhor dos Milagres, Freguesia e Concelho de Machico
[Pitta]  77764  PT/ABM/ACB/B/002               ..  Igreja de Nossa Senhora do Monte
[Pitta]  72713  PT/ABM/ACB/B/002/000001        ..  Escadaria de acesso à igreja de Nossa Senhora do Monte, Freguesia do Monte, Concelho do Funchal
[Pitta]  72714  PT/ABM/ACB/B/002/000002        ..  Interior da igreja de Nossa Senhora do Monte, Freguesia do Monte, Concelho do Funchal
[Pitta]  72715  PT/ABM/ACB/B/002/000003        ..  Interior da igreja de Nossa Senhora do Monte (vista do coro), Freguesia do Monte, Concelho do Funchal
[Pitta]  77765  PT/ABM/ACB/B/003               ..  Igreja de São João Evangelista (igreja do Colégio)
[Pitta]  72683  PT/ABM/ACB/B/003/000001        ..  Colégio dos Jesuítas e igreja de São João Evangelista (igreja do Colégio), Freguesia da Sé (atual freguesia de São Pedro), Concelho do Funchal
[Pitta]  72684  PT/ABM/ACB/B/003/000002        ..  Colégio dos Jesuítas e igreja de São João Evangelista (igreja do Colégio), Freguesia da Sé (atual freguesia de São Pedro), Concelho do Funchal
[Pitta]  72685  PT/ABM/ACB/B/003/000003        ..1895  Fachada principal da igreja de São João Evangelista (igreja do Colégio), Freguesia da Sé (atual freguesia de São Pedro), Concelho do Funchal
